timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
227012000,0,4000000.0,1.0,0.0,16.476093,0.0,0,0,0,0,0,2,0,0,0,1,44
228012000,0,4000000.0,1.0,0.0,16.250994,0.0,0,0,0,0,0,2,0,0,0,1,44
229012000,0,4000000.0,1.0,0.0,16.36454,0.0,0,0,0,0,0,2,0,0,0,1,44
230012000,0,4000000.0,1.0,0.0,16.356573,0.0,0,0,0,0,0,2,0,0,0,1,44
231012000,0,4000000.0,1.0,0.0,16.434261,0.0,0,0,0,0,0,2,0,0,0,1,44
232012000,0,4000000.0,1.0,0.0,16.326693,0.0,0,0,0,0,0,2,0,0,0,1,44
233012000,0,4000000.0,1.0,0.0,16.316732,0.0,0,0,0,0,0,2,0,0,0,1,44
234012000,0,4000000.0,1.0,0.0,16.260954,0.0,0,0,0,0,0,2,0,0,0,1,44
235012000,0,4000000.0,1.0,0.0,16.470118,0.0,0,0,0,0,0,2,0,0,0,1,44
236012000,0,4000000.0,1.0,0.0,16.322708,0.0,0,0,0,0,0,2,0,0,0,1,44
237012000,0,4000000.0,1.0,0.0,16.566732,0.0,0,0,0,0,0,2,0,0,0,1,44
238012000,0,4000000.0,1.0,0.0,16.260954,0.0,0,0,0,0,0,2,0,0,0,1,44
239012000,0,4000000.0,1.0,0.0,16.35458,0.0,0,0,0,0,0,2,0,0,0,1,44
240012000,0,4000000.0,1.0,0.0,16.603584,0.0,0,0,0,0,0,2,0,0,0,1,44
241012000,0,4000000.0,1.0,0.0,16.390436,0.0,0,0,0,0,0,2,0,0,0,1,44
242012000,0,4000000.0,1.0,0.0,16.336653,0.0,0,0,0,0,0,2,0,0,0,1,44
